posted,neighborhood,post title,number bedrooms,sqft,URL,price,Sauna,bedrooms,longitude,name,latitude,bathrooms_level_two,streetAddress,country,locality,postal,region,housing_type
2023-01-31,Downtown,Luxury 2 Bed + Den 2.5 Bath Condo with In-Home Infrared Sauna,2.0,2750.0,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bed-den-25-bath-condo/7579339114.html,8995,True,2.0,-123.1139,Luxury 2 Bed + Den 2.5 Bath Condo with In-Home Infrared Sauna,49.2788,3.0,,CA,Vancouver,V6B2P2,BC,Apartment
2023-01-24,Port Moody,5 Beds 3 Bath plus Sauna on Ioco Rd,5.0,4253.0,https://vancouver.craigslist.org/pml/apa/d/port-moody-beds-bath-plus-sauna-on-ioco/7574540378.html,6000,True,5.0,-122.8626,5 Beds 3 Bath plus Sauna on Ioco Rd,49.3231,3.0,,CA,Port Moody,V3H,BC,House
2023-01-05,Downtown,"Water View 2bdrm, 2Bath, Pool, Gym, Hot Tub, Steam, Sauna",2.0,880.0,https://vancouver.craigslist.org/van/apa/d/vancouver-water-view-2bdrm-2bath-pool/7566250466.html,5995,True,2.0,-123.120625,"Water View 2bdrm, 2Bath, Pool, Gym, Hot Tub, Steam, Sauna",49.273928,2.0,Davie St,CA,Vancouver,V6Z2Y1,BC,Apartment
2023-02-02,Coquitlam,Burquitlam close to SFU 1 bedroom apartment move in now,1.0,550.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-burquitlam-close-to-sfu/7582271466.html,2250,True,1.0,-122.8716,Burquitlam close to SFU 1 bedroom apartment move in now,49.265,1.0,,CA,Coquitlam North,V3J,BC,Apartment
2023-02-02,Coquitlam,"Luxury High Rise -2 Br, 2 Ba -Available Immediately - Must See",2.0,865.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-luxury-high-rise-br-ba/7579372888.html,2880,True,2.0,-122.886744,"Luxury High Rise -2 Br, 2 Ba -Available Immediately - Must See",49.261784,2.0,570 Emerson St,CA,Coquitlam,V3J3X7,BC,Apartment
2023-02-02,Downtown,City & Mountain View 1 Bedroom Apartment Rental at Waterworks,1.0,600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-city-mountain-view-bedroom/7582130326.html,2800,True,,,,,,,,,,,
2023-02-02,Downtown,Furnished 1 Bedroom Water & City View Apartment Rental at West One,1.0,721.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bedroom-water-city/7579956476.html,3000,True,,,,,,,,,,,
2023-02-02,Delta,Windsor Woods 3rd Floor Unfurnished 2 Bedroom Apartment,2.0,869.0,https://vancouver.craigslist.org/rds/apa/d/delta-windsor-woods-3rd-floor/7581682980.html,2600,True,2.0,-123.069738,Windsor Woods 3rd Floor Unfurnished 2 Bedroom Apartment,49.027849,2.0,,CA,Delta,V4M4E9,BC,Apartment
2023-02-02,Downtown,40th Floor Unfurnished Luxury 2 Bedroom at Shangri-La,2.0,1619.0,https://vancouver.craigslist.org/van/apa/d/vancouver-40th-floor-unfurnished-luxury/7575316646.html,6700,True,2.0,-123.123769,40th Floor Unfurnished Luxury 2 Bedroom at Shangri-La,49.285525,3.0,,CA,Vancouver,V6E4T9,BC,Apartment
2023-02-02,Vancouver,PET FRIENDLY 1 BED + DEN + 1 BATH IN VANCOUVER,1.0,533.0,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-bed-den-bath-in/7585038652.html,2400,True,1.0,-123.117739,PET FRIENDLY 1 BED + DEN + 1 BATH IN VANCOUVER,49.279229,1.0,833 HOMER ST,CA,Vancouver,V6B2W5,BC,Apartment
2023-02-02,Downtown,Fully Furnished 1 BR + 1 Baths #3th floor,1.0,600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-br-baths-3th/7585034637.html,3300,True,1.0,-123.125614,Fully Furnished 1 BR + 1 Baths #3th floor,49.287744,1.0,,CA,Vancouver,V6E4R3,BC,Apartment
2023-02-02,Downtown,"SHAW TOWER! Stunning Water View, Furnished-Large Balcony #3004",2.0,1356.0,https://vancouver.craigslist.org/van/apa/d/vancouver-shaw-tower-stunning-water/7585033655.html,8000,True,2.0,-123.117932,"SHAW TOWER! Stunning Water View, Furnished-Large Balcony #3004",49.288474,2.0,,CA,Vancouver,V6C3T5,BC,Apartment
2023-02-02,West Vancouver,Luxurious House - Stunning view - West Van,6.0,4864.0,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-luxurious-house-stunning/7578932603.html,7500,True,6.0,-123.152261,Luxurious House - Stunning view - West Van,49.34614,5.0,CHARTWELL DR,CA,West Vancouver,V7S2R3,BC,House
2023-02-02,West Vancouver,Luxurious House - Stunning view - West Van,6.0,4864.0,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-luxurious-house-stunning/7578932497.html,7500,True,6.0,-123.153022,Luxurious House - Stunning view - West Van,49.346635,5.0,CHARTWELL DR,CA,West Vancouver,V7S2R3,BC,House
2023-02-02,Port Moody - Inlet Skytrain,Furnished 2 Bed 2 Bath in New Building - Inlet Skytrain,2.0,800.0,https://vancouver.craigslist.org/pml/apa/d/port-moody-furnished-bed-bath-in-new/7582977806.html,3800,True,2.0,-122.830028,Furnished 2 Bed 2 Bath in New Building - Inlet Skytrain,49.27896,2.0,,CA,Port Moody,V3H0E1,BC,Apartment
2023-02-02,Surrey,Great View - 30th Floor: 2BR Condo @ Park Blvd - Avail Mar 1st~,2.0,827.0,https://vancouver.craigslist.org/rds/apa/d/surrey-great-view-30th-floor-2br-condo/7585006845.html,2700,True,2.0,-122.8438,Great View - 30th Floor: 2BR Condo @ Park Blvd - Avail Mar 1st~,49.183493,2.0,,CA,Surrey,V3T0A8,BC,Apartment
2023-02-02,Shaughnessy,Spacious Custom Luxury Home at 4810 Hudson St - available furnished,6.0,6029.0,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-custom-luxury-home/7584999614.html,15800,True,6.0,-123.134208,Spacious Custom Luxury Home at 4810 Hudson St - available furnished,49.242433,7.0,,CA,Vancouver,V6H3C2,BC,House
2023-02-02,Downtown,"1 Bed + Den, 2 Bath Furnished Condo w/ 1200 sqft Private Patio",1.0,1000.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-bath-furnished-condo/7585000693.html,6495,True,1.0,-123.13,"1 Bed + Den, 2 Bath Furnished Condo w/ 1200 sqft Private Patio",49.2767,2.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-02,Fairview Granville Island,Furnished Apartment Unit 408 at Harbour Cove 2 1470 Pennyfarthing Dr,1.0,947.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-apartment-unit-408/7584988665.html,3400,True,1.0,-123.14116,Furnished Apartment Unit 408 at Harbour Cove 2 1470 Pennyfarthing Dr,49.271999,1.0,,CA,Vancouver,V6J4X8,BC,Apartment
2023-02-02,Surrey,"1 Bed + 1 Den, Park Ave by Concord Pacific 3 mins to Skytrain Station",1.0,548.0,https://vancouver.craigslist.org/rds/apa/d/surrey-bed-den-park-ave-by-concord/7584994315.html,1970,True,1.0,-122.841568,"1 Bed + 1 Den, Park Ave by Concord Pacific 3 mins to Skytrain Station",49.183712,1.0,13750 100 Ave,CA,Surrey,V3T1J1,BC,Apartment
2023-02-02,New Westminster,Room for rent,2.0,950.0,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-room-for-rent/7584991838.html,1200,True,2.0,-122.9178,Room for rent,49.2026,1.0,,CA,New Westminster,V3M3X7,BC,Apartment
2023-02-02,Downtown,Short Term All-inclusive furnished Townhouse at Crestmark 1288 Marina,2.0,1216.0,https://vancouver.craigslist.org/van/apa/d/vancouver-short-term-all-inclusive/7584990842.html,4500,True,2.0,-123.120646,Short Term All-inclusive furnished Townhouse at Crestmark 1288 Marina,49.272027,2.0,,CA,Vancouver,V6Z2W5,BC,House
2023-02-02,Mount Pleasant,FULLY FURNISHED 2 BED + FLEX FOR RENT @ CREEKSIDE!!,2.0,1103.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-bed-flex-for/7584990607.html,4500,True,,,,,,,,,,,
2023-02-02,Downtown,Rare 2 level TH at Aqua at the Park 1428 Seymour Mews - furnish avail,2.0,1018.0,https://vancouver.craigslist.org/van/apa/d/vancouver-rare-level-th-at-aqua-at-the/7584982362.html,4600,True,2.0,-123.128627,Rare 2 level TH at Aqua at the Park 1428 Seymour Mews - furnish avail,49.274065,3.0,,CA,Vancouver,V6Z3E4,BC,House
2023-02-02,Downtown,PENTHOUSE WITH BREATHTAKING VIEWS 2Bed & 2Bath - Available April 1st,2.0,1200.0,https://vancouver.craigslist.org/van/apa/d/vancouver-penthouse-with-breathtaking/7584986863.html,6995,True,2.0,-123.127033,PENTHOUSE WITH BREATHTAKING VIEWS 2Bed & 2Bath - Available April 1st,49.277909,2.0,1188 Howe Street,CA,Vancouver,V6Z2X4,BC,Apartment
2023-02-02,Chinatown,Conveniently located Pet friendly Apartment Unit 21XX at 688 Abbott St,2.0,985.0,https://vancouver.craigslist.org/van/apa/d/vancouver-conveniently-located-pet/7584983460.html,3900,True,,,,,,,,,,,
2023-02-02,Downtown,Furnished Coal Harbour with Water Views!  590 Nicola St,2.0,841.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-coal-harbour-with/7579518950.html,4200,True,2.0,-123.128394,Furnished Coal Harbour with Water Views!  590 Nicola St,49.290471,2.0,590 Nicola,CA,Vancouver,V6G2S2,BC,Apartment
2023-02-02,North Vancouver,Furnished Studio,,480.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-furnished/7584981464.html,2100,True,,,,,,,,,,,
2023-02-02,Coquitlam,Premium one bedroom condo by Bosa,1.0,520.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-premium-one-bedroom/7583987237.html,2350,True,1.0,-122.8716,Premium one bedroom condo by Bosa,49.265,1.0,,CA,Coquitlam North,V3J,BC,Apartment
2023-02-02,Vancouver,Furnished Brand New A/C Unit at One Burrard Place,2.0,900.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-brand-new-c-unit-at/7584971876.html,5000,True,2.0,-123.129763,Furnished Brand New A/C Unit at One Burrard Place,49.277624,2.0,,CA,Vancouver,V6Z1Z1,BC,Apartment
2023-02-02,North Vancouver,Pristine Furnished Two Bed North Shore Condo For Rent (SHORT TERM OK),2.0,1100.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-pristine-furnished-two/7584925382.html,3200,True,2.0,-123.123661,Pristine Furnished Two Bed North Shore Condo For Rent (SHORT TERM OK),49.330303,2.0,2020 Fullerton Ave.,CA,North Vancouver,V7P3G3,BC,Apartment
2023-02-02,Downtown,Spacious 1 Bedroom + Den Condo for Rent,1.0,750.0,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bedroom-den-condo/7584969267.html,2500,True,1.0,-123.119638,Spacious 1 Bedroom + Den Condo for Rent,49.274007,1.0,198 Aquarius Mews,CA,Vancouver,V6Z2X9,BC,Apartment
2023-02-02,Richmond  – Riva Iii,Oversized View Deck! Like New High Rise in Centre Richmond,2.0,815.0,https://vancouver.craigslist.org/rch/apa/d/richmond-oversized-view-deck-like-new/7584163341.html,2899,True,2.0,-123.14337,Oversized View Deck! Like New High Rise in Centre Richmond,49.176612,2.0,7008 River Parkway,CA,Richmond,V6X2A3,BC,Apartment
2023-02-02,Burnaby Newwest,Vanpm.com 1Bed 1Bath KingsCrossing Condo Double Fridge + AC,1.0,562.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-vanpmcom-1bed-1bath/7576818795.html,2350,True,1.0,-122.949843,Vanpm.com 1Bed 1Bath KingsCrossing Condo Double Fridge + AC,49.218539,1.0,,CA,Burnaby,V3N3B7,BC,Apartment
2023-02-02,Downtown,FURNISHED VIEW 1BR PLUS DEN-FIRENZE II,1.0,620.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-view-1br-plus-den/7584960935.html,2595,True,1.0,-123.107641,FURNISHED VIEW 1BR PLUS DEN-FIRENZE II,49.278645,1.0,688 Abbott Street,CA,Vancouver,V6B0J4,BC,Apartment
2023-02-02,Vancouver,TV TOWER - 2BR 2Bath 1 Den 1 Flex Newer Highrise,2.0,982.0,https://vancouver.craigslist.org/van/apa/d/vancouver-tv-tower-2br-2bath-den-flex/7584944876.html,3660,True,2.0,-123.115,TV TOWER - 2BR 2Bath 1 Den 1 Flex Newer Highrise,49.2784,2.0,233 robson,CA,Vancouver,V6B0B4,BC,Apartment
2023-02-02,Vancouver,Furnished Executive A/C Unit at the Vantage,1.0,850.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-executive-c-unit-at/7584954479.html,3850,True,1.0,-123.120726,Furnished Executive A/C Unit at the Vantage,49.28796,2.0,,CA,Vancouver,V6E4J6,BC,Apartment
2023-02-02,Vancouver,FUNISHED - Luxury 3 bed with WATER VIEW at FLAGSHIP!,3.0,1293.0,https://vancouver.craigslist.org/van/apa/d/vancouver-funished-luxury-bed-with/7584918731.html,7800,True,3.0,-123.1139,FURNISHED - Luxury 3 bed with WATER VIEW at FLAGSHIP!,49.2788,2.0,,CA,Vancouver,V6B2P2,BC,Apartment
2023-02-02,Station Square,Metrotown! Station Square 1 bed + den/ 1 bath with amazing views!,1.0,640.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-station-square-bed/7584931074.html,2300,True,1.0,-122.9952,Metrotown! Station Square 1 bed + den/ 1 bath with amazing views!,49.2302,1.0,,CA,Burnaby,V5H3G1,BC,Apartment
2023-02-02,Vancouver,Spacious Furnished 3 Bedroom+ 2 Bath in Coal Harbour,3.0,1275.0,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-furnished-bedroom/7584942088.html,5500,True,3.0,-123.124251,Spacious Furnished 3 Bedroom+ 2 Bath in Coal Harbour,49.28817,2.0,,CA,Vancouver,V6E2S8,BC,Apartment
2023-02-02,North Vancouver,(UniqueAccommodations.com) ID:5163 Lower Lonsdale Pinnacle 1-bed,1.0,560.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-uniqueaccommodationscom/7577052858.html,3950,True,1.0,-123.078397,(UniqueAccommodations.com) ID:5163 Lower Lonsdale Pinnacle 1-bed,49.310646,1.0,133 E Esplanade,CA,North Vancouver,V7L0A7,BC,Apartment
2023-02-02,"Brentwood, Burnaby",(UniqueAccommodations.com) ID:5290 Luxurious 3 bdrm penthouse,3.0,1400.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-uniqueaccommodationscom-id5290/7582186072.html,6650,True,3.0,-123.013991,(UniqueAccommodations.com) ID:5290 Luxurious 3 bdrm penthouse,49.268239,3.0,1788 Gilmore St,CA,Burnaby,V5C6V1,BC,Apartment
2023-02-02,Richmond,LIKE NEW 2BED+DEN/2BATH Viewstar in Capstan Village,2.0,950.0,https://vancouver.craigslist.org/rch/apa/d/richmond-like-new-2bedden-2bath/7583869438.html,3500,True,2.0,-123.132749,LIKE NEW 2BED+DEN/2BATH Viewstar in Capstan Village,49.189263,2.0,8199 capstan,CA,Richmond,V6X1R5,BC,Apartment
2023-02-02,West Vancouver,(VISTAREALTY.NET)Gorgeous Residence in Excellent Caufeild Neighborhood,6.0,8800.0,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-vistarealtynetgorgeous/7582937264.html,15000,True,6.0,-123.246099,(VISTAREALTY.NET)Gorgeous Residence in Excellent Caufeild Neighborhood,49.343083,8.0,4550 Piccadilly North,CA,West Vancouver,V7W1E1,BC,House
2023-02-02,"1188 West Pender Street, Vancouver, V6E 2R9",PHENOMENON VIEWS SAPPHIRE DOWNTOWN VANCOUVER 2 BED 2 BATH + DEN,2.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-phenomenon-views-sapphire/7582993503.html,4000,True,2.0,-123.123146,PHENOMENON VIEWS SAPPHIRE DOWNTOWN VANCOUVER 2 BED 2 BATH + DEN,49.28817,2.0,,CA,Vancouver,V6E4T8,BC,Apartment
2023-02-02,Burnaby,Elegant 1Bedroom + 1Bathroom  in Edmonds Burnaby,1.0,588.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-elegant-1bedroom-1bathroom-in/7584918190.html,2350,True,1.0,-122.950015,Elegant 1Bedroom + 1Bathroom  in Edmonds Burnaby,49.218772,1.0,,CA,Burnaby,V3N1A7,BC,Apartment
2023-02-02,"3201- 1188 West Pender Street, Vancouver, V6E 2R9",PHENOMENON VIEWS SAPPHIRE DOWNTOWN VANCOUVER 2 BED 2 BATH + DEN,2.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-phenomenon-views-sapphire/7582993114.html,4000,True,2.0,-123.123254,PHENOMENON VIEWS SAPPHIRE DOWNTOWN VANCOUVER 2 BED 2 BATH + DEN,49.288184,2.0,,CA,Vancouver,V6E4T8,BC,Apartment
2023-02-02,North Vancouver,"2 BD Brand New Large luxury Suite, (Park West at Lions Gate Village)",2.0,1057.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bd-brand-new-large/7584910263.html,4950,True,2.0,-123.122374,"2 BD Brand New Large luxury Suite, (Park West at Lions Gate Village)",49.325038,2.0,1633 Capilano Road,CA,North Vancouver,V7P3G2,BC,Apartment
2023-02-01,North Vancouver,"2 BD Brand New Large luxury Suite, (Park West at Lions Gate Village)",2.0,1057.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bd-brand-new-large/7584569493.html,4950,True,,,,,,,,,,,
2023-02-01,Downtown,One Burrard Place Brand New Studio on the 11th floor,,460.0,https://vancouver.craigslist.org/van/apa/d/vancouver-one-burrard-place-brand-new/7584909320.html,2500,True,,,,,,,,,,,
2023-02-01,4400 Buchanan St.,Burnaby Brentwood Two Bedroom Spacious Condo,2.0,900.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-burnaby-brentwood-two-bedroom/7584187207.html,3300,True,2.0,-123.004637,Burnaby Brentwood Two Bedroom Spacious Condo,49.267242,2.0,,CA,Burnaby,V5C3Z2,BC,Apartment
2023-02-01,North Vancouver,"PARK WEST - Brand New - VIEW, VIEW -",1.0,640.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-park-west-brand-new/7580396246.html,3000,True,1.0,-123.122599,"PARK WEST - Brand New - VIEW, VIEW -",49.3247,1.0,1632 Lions Gate Lane,CA,North Vancouver,V7P3G2,BC,Apartment
2023-02-01,1328 West Pender Street,"1 bed + flex, 1 bath unit at Classico in Coal Harbour",1.0,570.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-flex-bath-unit-at/7583383309.html,2400,True,1.0,-123.126526,"1 bed + flex, 1 bath unit at Classico in Coal Harbour",49.288937,1.0,West Pender Street,CA,Vancouver,V6E4P1,BC,Apartment
2023-02-01,North Vancouver,NORTH SHORE LIVING - Best Floor Plan- 2bd/2bth @ Compass - UNFURNISHED,2.0,1000.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-north-shore-living-best/7584893171.html,3495,True,,,,,,,,,,,
2023-02-01,Richmond,D119 - Amazing spacious 3 Bedrooms / 3 Bathrooms at River Green,3.0,1300.0,https://vancouver.craigslist.org/rch/apa/d/richmond-d119-amazing-spacious-bedrooms/7578641508.html,4500,True,3.0,-123.148284,D119 - Amazing spacious 3 Bedrooms / 3 Bathrooms at River Green,49.175496,3.0,6688 PEARSON WAY,CA,Richmond,V7C4N3,BC,Apartment
2023-02-01,Vancouver,D80 - Amazing luxury apartment on the 47th floor,2.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d80-amazing-luxury-apartment/7579890484.html,6750,True,2.0,-123.13,D80 - Amazing luxury apartment on the 47th floor,49.2767,2.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,Vancouver,D82 - Incredible 55th Floor Luxury Apartment,2.0,1500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d82-incredible-55th-floor/7580219760.html,8500,True,2.0,-123.13,D82 - Incredible 55th Floor Luxury Apartment,49.2767,3.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,Vancouver,D81 - Brand new 3 bedroom apartment 49th floor in center of Downtown,3.0,1400.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d81-brand-new-bedroom/7574808270.html,9000,True,3.0,-123.1298,D81 - Brand new 3 bedroom apartment 49th floor in center of Downtown,49.2833,3.0,,CA,Vancouver,V6E,BC,Apartment
2023-02-01,Vancouver,D82 - Incredible 55th Floor Luxury Apartment,2.0,1500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d82-incredible-55th-floor/7574808496.html,8500,True,2.0,-123.13,D82 - Incredible 55th Floor Luxury Apartment,49.2767,3.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,North Vancouver,"Large, 1 B/R corner apartment.",1.0,630.0,https://vancouver.craigslist.org/van/apa/d/north-vancouver-large-b-corner-apartment/7584899232.html,2086,True,1.0,-123.071165,"Large, 1 B/R corner apartment.",49.315264,1.0,170,CA,North Vancouver,V7L1P2,BC,Apartment
2023-02-01,Olympic Village,Olympic Village Furnished 1 Bed plus Den Condo for Rent,1.0,500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-olympic-village-furnished-bed/7584154569.html,2650,True,1.0,-123.102906,Olympic Village Furnished 1 Bed plus Den Condo for Rent,49.250972,1.0,Quebec Street,CA,Vancouver,V5V3K6,BC,Apartment
2023-02-01,Downtown,Magnificent furnished 2bed/2bath Condo,2.0,1079.0,https://vancouver.craigslist.org/nvn/apa/d/vancouver-magnificent-furnished-2bed/7584896567.html,4800,True,2.0,-123.13,Magnificent furnished 2bed/2bath Condo,49.2767,2.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,North Vancouver,"Quiet, Large, South Facing Studio!",,460.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-quiet-large-south/7584895085.html,1927,True,,,,,,,,,,,
2023-02-01,"Higher Floor Unit -928 Beatty St, Vancouver","Downtown Vancouver! Studio w/ City view,1 Flex,1 Parking near Yaletown",,446.0,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-vancouver-studio/7575678067.html,2200,True,,,,,,,,,,,
